Date,Adj Close,Close,High,Low,Open,Volume
2010-01-04,27.613066,30.572857,30.642857,30.34,30.49,123432400.0
2010-01-05,27.660807,30.625713,30.798571000000006,30.464285,30.657143,150476200.0
2010-01-06,27.220825,30.138571,30.747143,30.107143,30.625713,138040000.0
2010-01-07,27.170504,30.082857,30.285715000000003,29.864286,30.25,119282800.0
2010-01-08,27.351143,30.282858,30.285715000000003,29.865715,30.042856,111902700.0
2010-01-11,27.109863,30.015715000000004,30.428572,29.778572,30.4,115557400.0
2010-01-12,26.801487,29.674286,29.967142,29.488571000000004,29.884285,148614900.0
2010-01-13,27.179537,30.092857,30.132856,29.157143,29.695715000000003,151473000.0
2010-01-14,27.022121,29.918571000000004,30.065714,29.860001,30.015715000000004,108223500.0
2010-01-15,26.570528000000003,29.418571000000004,30.228571,29.41,30.132856,148516900.0
2010-01-19,27.745962,30.719999,30.741428000000006,29.605715000000004,29.761429,182501900.0
2010-01-20,27.318890000000003,30.247143,30.792856,29.928572,30.701429,153038200.0
2010-01-21,26.846643,29.724285,30.472857,29.601429,30.297142,152038600.0
2010-01-22,25.515087,28.25,29.642857,28.165714,29.540001,220441900.0
2010-01-25,26.201517000000006,29.01,29.242857,28.598572,28.93,266424900.0
2010-01-26,26.571819,29.42,30.530001,28.940001,29.421429,466777500.0
2010-01-27,26.822136,29.697144,30.082857,28.504286,29.549999,430642100.0
2010-01-28,25.713791,28.469999,29.357143,28.385714,29.275715,293375600.0
2010-01-29,24.780926,27.437143,28.885714,27.178572,28.725714,311488100.0
2010-02-01,25.125425,27.818571,28.0,27.328571000000004,27.481428,187469100.0
2010-02-02,25.271231,27.98,28.045713,27.625713,27.987143,174585600.0
2010-02-03,25.706045,28.461428,28.6,27.774286,27.881428000000003,153832000.0
2010-02-04,24.779634,27.435715,28.338572,27.367144,28.104286,189413000.0
2010-02-05,25.219614,27.922857,28.0,27.264286,27.518572,212576700.0
2010-02-08,25.046721,27.731428,28.268572,27.714285,27.955715,119567700.0
2010-02-09,25.313808,28.027143,28.214285,27.821428000000004,28.059999,158221700.0
2010-02-10,25.175749,27.874287,28.085714000000007,27.751429,27.984285,92590400.0
2010-02-11,25.633789,28.381428000000003,28.535715000000003,27.722857,27.84,137586400.0
2010-02-12,25.854427,28.625713,28.805714,27.928572,28.301428,163867200.0
2010-02-16,26.244091,29.057142,29.098572,28.788572,28.848572,135934400.0
2010-02-17,26.134418,28.935715,29.187143,28.694286,29.17,109099200.0
2010-02-18,26.183453,28.99,29.127142,28.702858000000006,28.804285,105706300.0
2010-02-19,26.020874,28.809999,29.028572,28.73,28.837143,103867400.0
2010-02-22,25.859591,28.631428000000003,28.928572,28.455715,28.905714,97640900.0
2010-02-23,25.426058,28.151428000000006,28.761429,27.95857,28.571428000000004,143773700.0
2010-02-24,25.890553,28.665714,28.777143,28.262857,28.318571,115141600.0
2010-02-25,26.063454,28.857143,28.98,28.127142,28.197144,166281500.0
2010-02-26,26.401501,29.231428,29.309999,28.857143,28.911428000000004,126865200.0
